org_id,name
https://openalex.org/I4210113430,Tecnalia
https://openalex.org/I201181511,École Nationale Supérieure de Techniques Avancées
https://openalex.org/I4405258625,École Nationale Supérieure de Techniques Avancées Paris
https://openalex.org/I39804081,Sorbonne Université
https://openalex.org/I4210150358,Institut Systèmes Intelligents et de Robotique
https://openalex.org/I173304897,Universidad de Granada
https://openalex.org/I4210095677,Instituto Andaluz de Ciencias de la Tierra
https://openalex.org/I4210097190,Telefónica (Spain)
https://openalex.org/I4210134591,Telefonica Research and Development
https://openalex.org/I4210108113,Yango University
https://openalex.org/I80947539,Fuzhou University
https://openalex.org/I39586589,Swansea University
https://openalex.org/I139894009,University of Bradford
https://openalex.org/I143804889,Loughborough University
https://openalex.org/I147554453,University of Bedfordshire
https://openalex.org/I2802797706,Prin. L. N. Welingkar Institute of Management Development and Research
https://openalex.org/I169199633,Aston University
https://openalex.org/I98677209,University of Edinburgh
https://openalex.org/I68891433,Indian Institute of Technology Delhi
https://openalex.org/I98358874,Delft University of Technology
https://openalex.org/I4210145166,Foundry (United Kingdom)
https://openalex.org/I180519160,Copenhagen Business School
https://openalex.org/I1118541,University of East Anglia
https://openalex.org/I148776243,Government of Tamil Nadu
https://openalex.org/I55060895,University of Greenwich
https://openalex.org/I2802990396,Indian Institute of Management Tiruchirappalli
https://openalex.org/I244572783,Symbiosis International University
https://openalex.org/I110002522,University of Essex
https://openalex.org/I4210165562,Training Programs in Epidemiology and Public Health Interventions Network
https://openalex.org/I178535277,University of the West of England
https://openalex.org/I4210109032,Capgemini (United Kingdom)
https://openalex.org/I157773358,Sun Yat-sen University
https://openalex.org/I55732556,Arizona State University
https://openalex.org/I114457229,University of Geneva
https://openalex.org/I180242103,Stockholm School of Economics
https://openalex.org/I848706,Sungkyunkwan University
https://openalex.org/I130009713,Suez University
https://openalex.org/I207547235,Benha University
https://openalex.org/I4400009028,Galala University
https://openalex.org/I200284239,Universidade de Santiago de Compostela
https://openalex.org/I4210111807,Center for Research in Molecular Medicine and Chronic Diseases
https://openalex.org/I138689650,University of Padua
https://openalex.org/I108290504,University of Pisa
https://openalex.org/I169108374,University of the Basque Country
https://openalex.org/I4210124459,Association of Electronic and Information Technologies
https://openalex.org/I29894533,Charles Darwin University
https://openalex.org/I1329868518,NSW Department of Education
https://openalex.org/I81365321,Old Dominion University
https://openalex.org/I63966007,Massachusetts Institute of Technology
https://openalex.org/I91807558,National Cheng Kung University
https://openalex.org/I141945490,University of British Columbia
https://openalex.org/I1299528221,Engineering and Physical Sciences Research Council
